"Well"	"Cycle"	"Rn"	"delta.RN"
"770"	"LZ17"	10	-1177.0426	-8.2025
"771"	"LZ17"	11	-1177.3921	-2.3947
"772"	"LZ17"	12	-1187.8962	-6.7415
"773"	"LZ17"	13	-1191.1831	-3.8711
"774"	"LZ17"	14	-1182.8148	10.6545
"775"	"LZ17"	15	-1182.9369	16.6898
"776"	"LZ17"	16	-1186.4116	19.3723
"777"	"LZ17"	17	-1176.8311	35.1102
"778"	"LZ17"	18	-1179.8774	38.2211
"779"	"LZ17"	19	-1186.4977	37.7582
"780"	"LZ17"	20	-1184.2086	46.2046
"781"	"LZ17"	21	-1185.8029	50.7677
"782"	"LZ17"	22	-1185.4811	57.2467
"783"	"LZ17"	23	-1186.9941	61.891
"784"	"LZ17"	24	-1180.7595	74.2829
"785"	"LZ17"	25	-1188.793	72.4068
"786"	"LZ17"	26	-1190.3677	76.9894
"787"	"LZ17"	27	-1181.2524	92.2619
"788"	"LZ17"	28	-1187.6792	91.9925
"789"	"LZ17"	29	-1189.9246	95.9044
"790"	"LZ17"	30	-1202.6375	89.3488
"791"	"LZ17"	31	-1200.8032	97.3404
"792"	"LZ17"	32	-1194.9749	109.326
"793"	"LZ17"	33	-1203.2664	107.1918
"794"	"LZ17"	34	-1197.825	118.7906
"795"	"LZ17"	35	-1190.5231	132.2497
"796"	"LZ17"	36	-1210.4468	118.4833
"797"	"LZ17"	37	-1203.6033	131.4842
"798"	"LZ17"	38	-1192.491	148.7538
"799"	"LZ17"	39	-1200.4677	146.9344
"800"	"LZ17"	40	-1180.7407	172.8186
"801"	"LZ02"	1	-942.4817	149.1425
"802"	"LZ02"	2	-1038.7002	62.064
"803"	"LZ02"	3	-1078.3878	31.5165
"804"	"LZ02"	4	-1096.2725	22.7719
"805"	"LZ02"	5	-1138.6626	-10.4782
"806"	"LZ02"	6	-1142.9894	-5.6649
"807"	"LZ02"	7	-1171.0436	-24.5791
"808"	"LZ02"	8	-1174.1692	-18.5646
"809"	"LZ02"	9	-1179.6726	-14.928
"810"	"LZ02"	10	-1187.373	-13.4884
"811"	"LZ02"	11	-1192.2693	-9.2445
"812"	"LZ02"	12	-1182.7224	9.4424
"813"	"LZ02"	13	-1199.3097	1.9952
"814"	"LZ02"	14	-1195.1116	15.3333
"815"	"LZ02"	15	-1203.6965	15.8884
"816"	"LZ02"	16	-1204.6946	24.0305
"817"	"LZ02"	17	-1199.7883	38.0768
"818"	"LZ02"	18	-1211.8368	35.1684
"819"	"LZ02"	19	-1216.6787	39.4665
"820"	"LZ02"	20	-1197.1316	68.1537
"821"	"LZ02"	21	-1202.1965	72.2288
"822"	"LZ02"	22	-1213.5306	70.0347
"823"	"LZ02"	23	-1216.0366	76.6688
"824"	"LZ02"	24	-1207.7946	94.0509
"825"	"LZ02"	25	-1196.708	114.2775
"826"	"LZ02"	26	-1201.2036	118.922
"827"	"LZ02"	27	-1203.8203	125.4454
"828"	"LZ02"	28	-1216.4923	121.9134
"829"	"LZ02"	29	-1210.6139	136.9319
"830"	"LZ02"	30	-1213.3544	143.3315
"831"	"LZ02"	31	-1224.1638	141.6621
"832"	"LZ02"	32	-1214	160.966
