* Block Type = 48well
* Chemistry = TAQMAN
* Experiment File Name = D:\Leptospira\15-4-23  Muestras roedores 1.eds
* Experiment Run End Time = Not Started
* Instrument Type = stepone
* Passive Reference = 

[Amplification Data]
Well	Cycle	ΔRn
D1	24	146.9268
D1	25	148.4339
D1	26	160.2784
D1	27	168.1943
D1	28	158.898
D1	29	173.3776
D1	30	188.864
D1	31	194.6028
D1	32	203.2483
D1	33	210.0965
D1	34	228.4929
D1	35	248.4874
D1	36	272.7262
D1	37	300.0015
D1	38	344.6822
D1	39	454.2305
D1	40	595.7968
D2	1	132.2902
D2	2	99.6494
D2	3	52.3743
D2	4	-7.2549
D2	5	-5.0365
D2	6	-2.1423
D2	7	-18.8589
D2	8	-15.4073
D2	9	-25.7394
D2	10	-18.9411
D2	11	-1.0855
D2	12	3.2026
D2	13	6.3069
D2	14	10.9438
D2	15	21.6384
D2	16	13.9215
D2	17	18.3891
D2	18	25.6322
D2	19	42.6548
D2	20	59.205
D2	21	73.5261
D2	22	70.9336
D2	23	67.1983
D2	24	108.9023
D2	25	103.7557
D2	26	109.0771
D2	27	118.2401
D2	28	113.452
D2	29	141.6446
D2	30	125.3912
D2	31	125.5707
D2	32	159.139
D2	33	148.4845
D2	34	158.9452
D2	35	158.8963
D2	36	179.5278
D2	37	172.107
D2	38	185.6815
D2	39	196.117
D2	40	213.4436
D3	1	257.9782
D3	2	123.5203
D3	3	34.0288
D3	4	12.9583
D3	5	-6.4417
D3	6	-4.192
D3	7	-5.0199
D3	8	-18.3191
D3	9	-1.8338
D3	10	-40.8573
D3	11	-20.7695
D3	12	-10.0596
D3	13	12.1805
D3	14	23.8368
D3	15	24.4886
D3	16	28.1226
D3	17	45.919
D3	18	23.7311
D3	19	50.6214
D3	20	74.78
D3	21	78.1366
D3	22	86.9273
D3	23	89.5961
D3	24	100.4231
D3	25	111.5163
D3	26	121.6317
D3	27	142.1584
D3	28	135.2656
D3	29	147.4806
D3	30	165.654
D3	31	186.151
D3	32	189.8224
D3	33	205.4876
D3	34	218.6692
D3	35	217.8583
D3	36	218.5474
D3	37	226.0989
D3	38	246.1139
D3	39	261.2675
D3	40	264.4564
D4	1	216.385
D4	2	94.5494
D4	3	32.4012
D4	4	-2.8818
D4	5	-11.7379
D4	6	-4.8952
D4	7	11.1583
D4	8	-2.2142
D4	9	-4.5146
D4	10	-25.0017
D4	11	-22.4334
D4	12	-7.9408
D4	13	-6.5694
D4	14	9.3448
D4	15	35.2847
D4	16	26.0381
D4	17	43.2643
D4	18	43.6343
D4	19	61.3431
D4	20	81.0199
D4	21	70.1028
D4	22	89.928
D4	23	97.3261
D4	24	92.623
D4	25	109.2292
D4	26	102.4742
D4	27	133.4304
D4	28	126.6317
D4	29	133.1914
D4	30	136.9732
D4	31	149.9187
D4	32	155.4064
D4	33	155.5566
D4	34	169.9716
D4	35	172.5537
D4	36	193.5022
D4	37	203.4278
D4	38	235.4159
D4	39	294.0097
D4	40	417.5176
D5	1	192.0042
D5	2	84.9802
D5	3	13.4524
D5	4	-6.7655
D5	5	14.4367
D5	6	-2.3076
D5	7	-3.207
D5	8	1.9806
D5	9	-13.9833
D5	10	-16.2947
D5	11	-14.0751
D5	12	-3.4494
D5	13	6.4566
D5	14	20.2928
D5	15	3.4634
D5	16	8.5673
D5	17	3.0241
D5	18	6.8146
D5	19	2.5006
D5	20	14.7038
D5	21	18.2697
D5	22	-21.141
D5	23	-15.2802
D5	24	-14.843
D5	25	-13.6802
D5	26	-23.443
D5	27	-6.8636
D5	28	-11.9114
D5	29	6.0975
D5	30	4.3
D5	31	-3.4178
D5	32	16.764
D5	33	0.0131
D5	34	9.1546
D5	35	14.7149
D5	36	-10.2358
D5	37	6.3973
D5	38	11.9764
D5	39	31.7607
D5	40	24.5758
D6	1	131.6056
D6	2	64.8992
D6	3	37.4404
D6	4	2.8984
D6	5	-17.176
D6	6	-15.2872
D6	7	7.0625
D6	8	-6.7577
D6	9	-20.788
D6	10	-26.0035
D6	11	4.3336
D6	12	8.1147
D6	13	15.4665
D6	14	1.1164
D6	15	9.58
D6	16	0.476
D6	17	12.3803
D6	18	20.4409
D6	19	-7.8259
D6	20	-5.1533
D6	21	-25.6438
D6	22	-20.308
D6	23	-45.8517
D6	24	-32.3703
